Question ID,Quant. views,Quant. answers,Score,Título da Question,Tags,Link da Question
11227809,1546194,26,25020,Why is processing a sorted array faster than processing an unsorted array?,"java, c++, performance, optimization, branch-prediction",https://stackoverflow.com/questions/11227809/why-is-processing-a-sorted-array-faster-than-processing-an-unsorted-array
927358,9054606,87,21855,How do I undo the most recent local commits in Git?,"git, version-control, git-commit, undo",https://stackoverflow.com/questions/927358/how-do-i-undo-the-most-recent-local-commits-in-git
2003505,8468557,40,17437,How do I delete a Git branch locally and remotely?,"git, version-control, git-branch, git-push, git-remote",https://stackoverflow.com/questions/2003505/how-do-i-delete-a-git-branch-locally-and-remotely
292357,2876356,36,12223,What is the difference between 'git pull' and 'git fetch'?,"git, version-control, git-pull, git-fetch",https://stackoverflow.com/questions/292357/what-is-the-difference-between-git-pull-and-git-fetch
231767,2351357,42,10672,"What does the ""yield"" keyword do?","python, iterator, generator, yield, coroutine",https://stackoverflow.com/questions/231767/what-does-the-yield-keyword-do
477816,2962813,36,10483,What is the correct JSON content type?,"json, http-headers, content-type",https://stackoverflow.com/questions/477816/what-is-the-correct-json-content-type
348170,3346267,37,9349,How do I undo 'git add' before commit?,"git, version-control, git-commit, git-stage",https://stackoverflow.com/questions/348170/how-do-i-undo-git-add-before-commit
1642028,824292,24,9192,"What is the ""-->"" operator in C++?","c++, c, operators, code-formatting, standards-compliance",https://stackoverflow.com/questions/1642028/what-is-the-operator-in-c
6591213,3146398,34,8955,How do I rename a local Git branch?,"git, version-control, git-branch",https://stackoverflow.com/questions/6591213/how-do-i-rename-a-local-git-branch
5767325,7340684,99,8808,How can I remove a specific item from an array?,"javascript, arrays",https://stackoverflow.com/questions/5767325/how-can-i-remove-a-specific-item-from-an-array
79923,1544897,29,8310,What and where are the stack and heap?,"memory-management, stack, language-agnostic, heap, dynamic-memory-allocation",https://stackoverflow.com/questions/79923/what-and-where-are-the-stack-and-heap
244777,2480546,53,7938,Can comments be used in JSON?,"json, comments",https://stackoverflow.com/questions/244777/can-comments-be-used-in-json
178325,2750309,59,7937,How do I check if an element is hidden in jQuery?,"javascript, jquery, dom, visibility",https://stackoverflow.com/questions/178325/how-do-i-check-if-an-element-is-hidden-in-jquery
